id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KFEDCCQHYNX4NRQZ9PZZ2SNP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T19:16:23.921617744Z,,,true,2026-01-20T19:16:23.939723411Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T19:16:23.921617744Z,terminated,2026-01-20T19:35:40.235501911Z
01KFEHA1MRJDJA6FNTED28Z8HF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T20:25:01.336300474Z,all games finished,2026-01-20T20:36:57.999401006Z,true,2026-01-20T20:25:01.460940337Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T20:25:01.336300474Z,ended,2026-01-20T20:36:57.999401006Z
01KFEHA20TFYVSSENV0N2723W5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T20:25:01.722802938Z,all games finished,2026-01-20T20:43:19.694845258Z,true,2026-01-20T20:25:01.874933513Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T20:25:01.722802938Z,ended,2026-01-20T20:43:19.694845258Z
01KFEJ5C7H3Z5SGPPT0TCGAEB2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T20:39:56.913174929Z,all games finished,2026-01-20T20:58:47.574130804Z,true,2026-01-20T20:39:56.959067037Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T20:39:56.913174929Z,ended,2026-01-20T20:58:47.574130804Z
01KFEHAKWNS08RQENHQ36ND5GA,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T20:25:20.021126586Z,all games finished,2026-01-20T20:52:54.996656735Z,true,2026-01-20T20:25:20.045451852Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T20:25:20.021126586Z,ended,2026-01-20T20:52:54.996656735Z
01KFEJ5CPJ5RGARFNN6Z0PCT4Q,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T20:39:57.39445862Z,,,true,2026-01-20T20:39:57.455915247Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T20:39:57.39445862Z,running,2026-01-20T20:40:13.494384902Z
01KFEDC9EK94N2WNCHE5RRQHCJ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T19:16:20.563081416Z,all games finished,2026-01-20T20:31:13.737944118Z,true,2026-01-20T19:16:20.595475618Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T19:16:20.563081416Z,ended,2026-01-20T20:31:13.737944118Z
01KFEDCB7P38BTZ4ACVDP6P0XN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T19:16:22.390684307Z,all games finished,2026-01-20T19:38:10.899005824Z,true,2026-01-20T19:16:22.40473434Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T19:16:22.390684307Z,ended,2026-01-20T19:38:10.899005824Z
01KFEDCCAW3ZY6KSKNHTKZ971F,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T19:16:23.516808893Z,all games finished,2026-01-20T19:50:00.434837904Z,true,2026-01-20T19:16:23.532953949Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T19:16:23.516808893Z,ended,2026-01-20T19:50:00.434837904Z
01KFEHA1W0DBA89GCQ87GA4EG5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T20:25:01.568437436Z,all games finished,2026-01-20T20:39:58.449622876Z,true,2026-01-20T20:25:01.6779395Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T20:25:01.568437436Z,ended,2026-01-20T20:39:58.449622876Z
