id,advice,adviceLastChangedAt,bonus,bonusLastChangedAt,endReason,endReasonLastChangedAt,ended,endedLastChangedAt,exitStep,exitStepLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt,writtenPlan,writtenPlanLastChangedAt
01KFEEV98ZBZT7VKKTGE1Q7XAV,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T19:43:17.434918934Z,77,2026-01-20T19:55:22.005384199Z,disconnected,2026-01-20T19:56:56.316895899Z,game failed,2026-01-20T21:46:09.218844205Z,1,2026-01-20T19:57:52.774099533Z,,,"{""adviceFollowed"":""No he was taking time to respond "",""partnerAdvice"":"""",""feedback"":""No""}",2026-01-20T19:57:52.769317446Z,01KFEKPAP1XPK4QSW1KJNK1EA8,2026-01-20T21:39:08.19319459Z,3,2026-01-20T19:43:17.474261053Z,null,2026-01-20T21:17:32.926264556Z,01KFEEV6PYZDDJZGMETZFPQGFA,2026-01-20T19:42:00.479615264Z,67e1a47dae2e2e04aa7d8417,2026-01-20T19:42:00.479615264Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T21:22:47.369611096Z,CG_cooperate,2026-01-20T21:22:47.369611096Z,"{""PROLIFIC_PID"":""67e1a47dae2e2e04aa7d8417"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fda4cda32176f61561386""}",2026-01-20T19:42:01.369821372Z,"{""plan"":""To park in different spots""}",2026-01-20T19:44:07.476763201Z
01KFEHRW225KHB0BFZQ8Z8WCRA,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T20:35:13.174484602Z,20,2026-01-20T20:38:36.723526895Z,disconnected,2026-01-20T20:39:34.506801717Z,game ended,2026-01-20T20:39:34.549549787Z,1,2026-01-20T20:39:58.950468468Z,,,"{""adviceFollowed"":""Yes, I think so."",""partnerAdvice"":"""",""feedback"":""No.""}",2026-01-20T20:39:58.960720169Z,01KFEHA25QS717K28J0SK0Z44C,2026-01-20T20:35:20.955247133Z,3,2026-01-20T20:35:13.463605061Z,true,2026-01-20T20:35:50.753241043Z,01KFEHRV3DD4W9TF7NC2KAXSM7,2026-01-20T20:33:07.138249593Z,6788da2a096d1243e779a70a,2026-01-20T20:33:07.138249593Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T20:33:07.1545784Z,CG_selfish,2026-01-20T20:33:07.1545784Z,"{""PROLIFIC_PID"":""6788da2a096d1243e779a70a"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fe6149f4320ddf60390b5""}",2026-01-20T20:33:07.685524133Z,"{""plan"":""I am to park in areas with high MU points.""}",2026-01-20T20:35:50.760576524Z
01KFEJDWT7HF2D6BRNBHS3X5TT,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T20:48:28.566284657Z,112,2026-01-20T20:53:56.30322149Z,disconnected,2026-01-20T20:55:37.709610265Z,game ended,2026-01-20T20:55:37.76669642Z,1,2026-01-20T20:57:15.003809131Z,,,"{""adviceFollowed"":"""",""partnerAdvice"":""I believe my partner might have received the same advice as I did"",""feedback"":""It was fun while it lasted ""}",2026-01-20T20:57:14.98109519Z,01KFEJ5C9TA7ZE3V3TA0C9309P,2026-01-20T20:50:00.982184772Z,3,2026-01-20T20:48:28.855907069Z,true,2026-01-20T20:50:16.991227727Z,01KFEJDS817R6HE0YAZE88XQRB,2026-01-20T20:44:36.03957519Z,67f65a16d76fa76c28091ede ,2026-01-20T20:44:36.03957519Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:44:36.063772883Z,noCG_selfish,2026-01-20T20:44:36.063772883Z,"{""PROLIFIC_PID"":""67f65a16d76fa76c28091ede"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fe77bc24be7af00a623c3""}",2026-01-20T20:44:38.85137156Z,"{""plan"":""My plan is from the advise I got and it says to play for myself""}",2026-01-20T20:50:16.975361997Z
01KFEJQ43AZNCTHABZKM6DBV3R,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T20:50:59.382117896Z,49,2026-01-20T20:53:48.523337463Z,disconnected,2026-01-20T20:55:49.133148083Z,game ended,2026-01-20T20:55:49.199048143Z,1,2026-01-20T21:02:08.963799387Z,,,"{""adviceFollowed"":""We followed the advice well and it really worked out."",""partnerAdvice"":"""",""feedback"":""None""}",2026-01-20T21:02:07.306741627Z,01KFEHAMB65F4EHHS2KPJ10RVS,2026-01-20T20:49:38.437137203Z,3,2026-01-20T20:50:59.366304422Z,true,2026-01-20T20:51:24.680421117Z,01KFEJQ29SD75BMA04098KR9K7,2026-01-20T20:49:38.410332052Z,66c3f9c82a62ec48ab383e47,2026-01-20T20:49:38.410332052Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T20:49:38.437137203Z,CG_selfish,2026-01-20T20:49:38.437137203Z,"{""PROLIFIC_PID"":""66c3f9c82a62ec48ab383e47"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fe9270b0b7bca13c26234""}",2026-01-20T20:49:39.361644003Z,"{""plan"":""I will try to get the best outcome""}",2026-01-20T20:51:24.698395447Z
01KFEKEX3VSEJ79DPFZ13BZNQ0,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T21:03:20.46268709Z,252,2026-01-20T21:10:12.495113292Z,,,game ended,2026-01-20T21:10:33.860688786Z,1,2026-01-20T21:11:19.434805721Z,,,"{""adviceFollowed"":""Yes,my partner and I choose spots that's fair for both of us mostly "",""partnerAdvice"":"""",""feedback"":""""}",2026-01-20T21:11:19.469765702Z,01KFEJ5D5EZSQZ1FHTABW8Z6HQ,2026-01-20T21:02:37.754443135Z,3,2026-01-20T21:03:20.482278366Z,true,2026-01-20T21:03:56.863321547Z,01KFEKEW0QVBAJXY2Q6EAHN38E,2026-01-20T21:02:37.69105612Z,67d12dfbc6a360590f4d24e9,2026-01-20T21:02:37.69105612Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T21:02:37.754443135Z,CG_cooperate,2026-01-20T21:02:37.754443135Z,"{""PROLIFIC_PID"":""67d12dfbc6a360590f4d24e9"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fed4a5ba7467cc4cd230a""}",2026-01-20T21:02:38.358225742Z,"{""plan"":""I will start with the highest amount then see what my partner chooses ""}",2026-01-20T21:03:56.884695252Z
01KFEN21CXTN54ZYYD7KKGD108,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T21:32:50.480833907Z,,,,,game failed,2026-01-20T21:46:09.218844205Z,,,,,,,01KFEKPAP1XPK4QSW1KJNK1EA8,2026-01-20T21:39:08.19319459Z,3,2026-01-20T21:32:50.554850934Z,,,01KFEN20Z82199DZFYA9D3AAT5,2026-01-20T21:30:33.245588245Z,5e63cacbe43f28152567f42b,2026-01-20T21:30:33.245588245Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T21:30:33.333101504Z,CG_cooperate,2026-01-20T21:30:33.333101504Z,"{""PROLIFIC_PID"":""5e63cacbe43f28152567f42b"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696ff3cbaba04dc9698ae052""}",2026-01-20T21:30:33.526244374Z,,
01KFEDRPN6E99Y29FA93PHW8QN,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T19:28:50.541999267Z,,,no game available,2026-01-20T19:35:52.858480316Z,null,2026-01-20T21:01:24.782922479Z,,,true,2026-01-20T19:35:52.863662157Z,"{""gamefailed"":""nogame""}",2026-01-20T19:35:52.861633914Z,01KFEKP9HT65C7N3DPWEN904QP,2026-01-20T21:35:25.021937353Z,3,2026-01-20T19:28:50.64610644Z,null,2026-01-20T21:01:24.782922479Z,01KFEDRP508DH9VE1QKGQ0V2DB,2026-01-20T19:23:07.302271341Z,60551c921afebad605bfd329,2026-01-20T19:23:07.302271341Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T21:04:18.078386323Z,noCG_cooperate,2026-01-20T21:04:18.078386323Z,"{""PROLIFIC_PID"":""60551c921afebad605bfd329"",""STUDY_ID"":""696b2a594b14c2160fb1e6bf"",""SESSION_ID"":""696fd581bc60988abdbacb67""}",2026-01-20T19:23:07.552213283Z,"{""plan"":""I will probably try to choose A or B. If my partner does the same I will try C or D.""}",2026-01-20T19:30:44.239329546Z
01KFEKG0W33WGWW0JRYBJ7HH7C,"{""advice"":""Try to find an outcome that's fair for both of you.""}",2026-01-20T21:03:31.846622631Z,173,2026-01-20T21:07:11.163571012Z,disconnected,2026-01-20T21:08:56.149397815Z,game ended,2026-01-20T21:08:56.568649397Z,1,2026-01-20T21:11:07.732071846Z,,,"{""adviceFollowed"":""they did at first then they stopped responding, now I have been cut short"",""partnerAdvice"":"""",""feedback"":""my partner stopped responding so i got kicked out""}",2026-01-20T21:11:07.690532262Z,01KFEJ5DNDE8JNQCKKCXNMH9CD,2026-01-20T21:03:56.970461969Z,3,2026-01-20T21:03:31.876915263Z,true,2026-01-20T21:04:03.646172854Z,01KFEKFYYJ2R3RZA0FHAQYXFBH,2026-01-20T21:03:14.307923314Z,660eafee7515c432e850362d,2026-01-20T21:03:14.307923314Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T21:03:14.345344119Z,CG_cooperate,2026-01-20T21:03:14.345344119Z,"{""PROLIFIC_PID"":""660eafee7515c432e850362d"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696febac88434333ad3aaa24""}",2026-01-20T21:03:14.972398664Z,"{""plan"":""i will try and pick the best outcomes that are fair for both of us""}",2026-01-20T21:04:03.607428807Z
01KFEF0XCN2JDQQD559T0PP43B,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T19:51:18.797634931Z,231,2026-01-20T19:55:41.963885503Z,,,game failed,2026-01-20T21:34:24.57062519Z,1,2026-01-20T19:57:04.323727813Z,,,"{""adviceFollowed"":""No, we didn't made the correct choice some of the times"",""partnerAdvice"":"""",""feedback"":""The webpage wasn't loading at the begining""}",2026-01-20T19:57:04.328072503Z,01KFEKHZPE52V00NFFWQ68WC0W,2026-01-20T21:27:10.802587023Z,3,2026-01-20T19:51:18.805044485Z,null,2026-01-20T21:08:40.083231436Z,01KFEF0WV8W2QCQDKVM2DRD2DN,2026-01-20T19:45:04.917140713Z,5cae3bdf3f4c8f0017ef8902,2026-01-20T19:45:04.917140713Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T21:22:47.369611096Z,CG_selfish,2026-01-20T21:22:47.369611096Z,"{""PROLIFIC_PID"":""5cae3bdf3f4c8f0017ef8902"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fdb17f573fb11af086cac""}",2026-01-20T19:45:05.221885269Z,"{""plan"":""I will always park in C unless my partner keeps parking it there, if he does that, I will park in A or B""}",2026-01-20T19:52:32.28248382Z
01KFEHS8J7P9EEBTK2FBSRFBQT,"{""advice"":""Try to get the best outcome for yourself.""}",2026-01-20T20:34:25.534810563Z,70,2026-01-20T20:43:40.405719838Z,,,game ended,2026-01-20T20:44:01.552441556Z,1,2026-01-20T20:44:30.868991242Z,,,"{""adviceFollowed"":""They played aggressively "",""partnerAdvice"":"""",""feedback"":""no ""}",2026-01-20T20:44:30.854646018Z,01KFEHAKMDAJRN7M0QA4VDJCGY,2026-01-20T20:36:41.263627001Z,3,2026-01-20T20:34:25.669799123Z,true,2026-01-20T20:37:02.350241014Z,01KFEHS82FRCGRSJZ645HKQXZ4,2026-01-20T20:33:19.9438341Z,5efb49177e130c0785b93842,2026-01-20T20:33:19.9438341Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T20:33:19.958912151Z,CG_selfish,2026-01-20T20:33:19.958912151Z,"{""PROLIFIC_PID"":""5efb49177e130c0785b93842"",""STUDY_ID"":""696fda5e11dcb61d45eea559"",""SESSION_ID"":""696fe4b0eb74d7bef44b3c14""}",2026-01-20T20:33:20.203862172Z,"{""plan"":""Avoid parking in the same spot as the partner. A bonus depends on the colour choices made.""}",2026-01-20T20:37:02.336768222Z
